,0,1,2
0,0,0,False
1,-66,45,False
2,95,-84,False
3,-35,-70,False
4,26,94,False
5,15,20,False
6,66,-3,False
7,-47,-76,False
8,24,-93,False
9,-1,10,False
10,55,95,False
11,96,-100,False
12,78,14,False
13,-32,84,False
14,-42,51,False
15,-74,-19,False
16,-93,-95,False
17,-94,66,False
18,38,-98,False
19,-3,75,False
20,-45,8,False
21,85,-93,False
22,35,-44,False
23,95,12,False
24,26,41,False
25,-41,-12,False
26,-41,73,False
27,-44,94,False
28,17,-26,False
29,-95,6,False
30,42,64,False
31,-75,-53,False
32,61,85,False
33,-25,-70,False
34,90,-15,False
35,84,82,False
36,28,8,True
37,29,71,True
38,-52,-23,True
39,-28,50,True
40,27,29,True
41,0,50,True
42,-92,22,True
43,-38,90,True
44,3,6,True
45,70,-56,True
46,-7,40,True
47,79,98,True
48,72,88,True
49,-5,-78,True
50,12,69,True
